entity	label	definition	synonyms
DOID_0050971	spinocerebellar ataxia 20	An autosomal dominant cerebellar ataxia that is characterized by cerebellar dysarthria.	
DOID_0050972	spinocerebellar ataxia 21	An autosomal dominant cerebellar ataxia that is characterized by progressive cerebellar ataxia, cognitive impairment, tremor, bradykinesia and rigidity.	
DOID_0050973	spinocerebellar ataxia 23	An autosomal dominnant cerebellar ataxia that is characterized by slowly progressive ataxia, dysarthria, slow saccades and hyperreflexia, has_material_basis_in mutation in the PDYN gene.	
DOID_0050974	spinocerebellar ataxia 25	An autosomal dominant cerebellar ataxia that is characterized by ataxia and sensory neuropathy, has_material_basis_in repeat CAG expansion on chromosome 2p15-p21.	
DOID_0050975	spinocerebellar ataxia 26	An autosomal dominant cerebellar ataxia that is characterized by slowly progressive ataxia and oculomotor abnormalities, has_material_basis_in mutation in the EEF2 gene.	
DOID_0050976	spinocerebellar ataxia 27A	An autosomal dominant cerebellar ataxia that is characterized by general cerebellar dysfunction manifest as gait disturbances, ataxia, tremor, dysarthria, and gaze-evoked nystagmus and has_material_basis_in heterozygous mutation in the FGF14 gene on chromosome 13q33. Some patients have heterozygous deletions of chromosome 13q33 affecting the FGF14 and ITGBL1 genes, which may thus be considered a contiguous gene deletion syndrome.	SCA27A; autosomal dominant congenital nystagmus 4; congenital nystagmus 4; spinocerebellar ataxia type 27; vestibulocerebellar disorder with predominant ocular signs
DOID_0050977	spinocerebellar ataxia 28	An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia, dysarthria, hyperreflexia, ophthalmoparesis, nystagmus and ptosis, and has_material_basis_in mutation in the AFG3L2 gene.	
DOID_0050978	spinocerebellar ataxia 29	An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia, intellectual disability, dysarthria and ophthalmoplegia, and has_material_basis_in mutation in the ITPR1 gene.	
DOID_0050979	spinocerebellar ataxia 30	An autosomal dominant cerebellar ataxia that is characterized by slowly progressive gait abnormalities and dysarthria, has_material_basis_in mutation in the ODZ3 gene.	
DOID_0050980	spinocerebellar ataxia 31	An autosomal dominant cerebellar ataxia that is characterized by late-onset ataxia, dysarthria and horizontal nystagmus, has_material_basis_in repeat expansion mutation in the BEAN1 gene.	
DOID_0050981	spinocerebellar ataxia 34	An autosomal dominant cerebellar ataxia that is characterized by papulosquamous, ichthyosiform plaques at birth and progressive ataxia, dysarthria, nystagmus and hyporeflexia, has_material_basis_in mutation in the ELOVL4 gene.	
DOID_0050982	spinocerebellar ataxia 35	An autosomal dominant cerebellar ataxia that is characterized by a slowly progressive ataxia, tremor, dysarthria and hyperreflexia, has_material_basis_in mutation in the TGM6 gene.	
DOID_0050983	spinocerebellar ataxia 36	An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia, dysarthria, hyperreflexia, sensiorineural hearing loss and muscle atrophy, has_material_basis_in mutation in the NOP56 gene.	
DOID_0050984	spinocerebellar ataxia 37	An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia and dysarthria, presenting in mid-adulthood, and has_material_basis_in mutation to the DAB1 gene.	
DOID_0050985	spinocerebellar ataxia 38	An autosomal dominant cerebellar ataxia that is characterized by slowly progressive ataxia and nystagmus, presenting in mid-adulthood, and has_material_basis_in mutation to the ELOVL5 gene.	
DOID_0050986	spinocerebellar ataxia 40	An autosomal dominant cerebellar ataxia that is characterized by progressive gait abnormalities, dysarthria, tremor and hyporeflexia, has_material_basis_in mutation in the CCDC88C gene.	
DOID_0050987	hypomyelinating leukoencephalopathy	An autosomal dominant cerebellar ataxia that is characterized by nystagmus, spasticity, and a distinct pattern of MRI abnormalities.	
DOID_0050988	GRID2-related spinocerebellar ataxia	An autosomal dominant cerebellar ataxia that is characterized by cognitive delay, abnormal eye movements, and hearing loss.	
DOID_0050989	episodic ataxia type 1	An episodic ataxia that is characterized by periodic ataxia and frequent myokymic discharges, and has_material_basis_in autosomal dominant inheritance of mutation in the potassium channel gene KCNA1.	
DOID_0050990	episodic ataxia type 2	An episodic ataxia that is characterized by periodic ataxia and nystagmus, and has_material_basis_in autosomal dominant inheritance of mutation in the calcium channel gene CACNA1A.	
DOID_0050991	episodic ataxia type 3	An episodic ataxia that is characterized by periodic ataxia, myokymia, vertigo and tinnitus, and has_material_basis_in autosomal dominant inheritance.	
DOID_0050992	episodic ataxia type 4	An episodic ataxia that is characterized by vertigo and diplopia.	
DOID_0050993	episodic ataxia type 5	An episodic ataxia that is characterized by dysarthria and vertigo, develops in early childhood, and has_material_basis_in autosomal dominant inheritance of mutation in the CACNB4 gene.	
DOID_0050994	episodic ataxia type 6	An episodic ataxia that is characterized by nystagmus and dysarthria, and has_material_basis_in autosomal dominant inheritance of mutation in the SLC1A3 gene.	
DOID_0050995	episodic ataxia type 7	An episodic ataxia that is characterized by episodes of weakness and dysarthria, and has_material_basis_in autosomal dominant inheritance.	
DOID_0050996	episodic ataxia type 8	An episodic ataxia that is characterized by weakness, dysarthria and myokymia, and has_material_basis_in autosomal dominant inheritance of mutation in the UBR4 gene.	
DOID_0050997	cerebellar ataxia, impaired intellectual development, and dysequilibrium syndrome	A syndrome characterized by congenital onset of nonprogressive cerebellar ataxia, disturbed equilibrium, and mental retardation, associated with cerebellar hypoplasia.	CAMRQ; CAMRQ syndrome; DES; UTS; Uner Tan syndrome; cerebellar ataxia and mental retardation with or without quadrupedal locomotion; cerebellar ataxia, mental retardation, and disequilibrium syndrome; cerebellar ataxia, mental retardation, and dysequilibrium syndrome; disequilibrium syndrome; dysequilibrium syndrome
DOID_0050998	nonprogressive cerebellar ataxia with mental retardation	An autosomal dominant cerebellar ataxia that is characterized by early onset of nonprogressive cerebellar ataxia, developmental delay, intellectual impairment and cerebellar atrophy, and has_material_basis_in autosomal dominant inheritance of mutation in the CAMTA1 gene.	
DOID_0050999	autosomal recessive spinocerebellar ataxia 10	An autosomal recessive cerebellar ataxia that is characterized by ataxia, dysarthria, nystagmus and marked cerebellar atrophy, has_material_basis_in mutation in the ANO10 gene.	SCAR10
DOID_0051000	autoinflammatory disease	A primary immunodeficiency disease that is characterized by the activation of innate immune cells without an infection or injury being present, thus kickstarting the release of cytokines and other immune responses, causing fever and inflammation.	
DOID_0051001	congenital dyserythropoietic anemia type IIIb	A congenital dyserythropoietic anemia characterized by macrocytic anemia, aberrant giant multinucleated erythroblasts in the bone marrow, and skull defects secondary to severe anemia with ineffective erythropoiesis and that has_material_basis_in homozygous or compound heterozygous mutation in the RACGAP1 gene on chromosome 12q13.	
DOID_0051002	congenital dyserythropoietic anemia type IVb	A congenital dyserythropoietic anemia characterized by neonatal jaundice, hyperbilirubinemia, and severe congenital hemolytic anemia requiring transfusionn and that has_material_basis_in homozygous or compound heterozygous mutation in the KLF1 gene on chromosome 19p13.13.	
DOID_0051003	congenital nonspherocytic hemolytic anemia 1	A congenital nonspherocytic hemolytic anemia that has_material_basis_in mutation in the G6PD gene on chromosome Xq28, and is the most common genetic form of chronic and drug-, food-, or infection-induced hemolytic anemia.	
DOID_0051004	congenital nonspherocytic hemolytic anemia 3	A congenital nonspherocytic hemolytic anemia that has_material_basis_in homozygous or compound heterozygous mutation in the AK1 gene on chromosome 9q34.	
DOID_0051005	congenital nonspherocytic hemolytic anemia 4	A congenital nonspherocytic hemolytic anemia that has_material_basis_in homozygous or compound heterozygous mutation in the PHI gene (GPI) on chromosome 19q13.	
DOID_0051006	congenital nonspherocytic hemolytic anemia 5	A congenital nonspherocytic hemolytic anemia that has_material_basis_in homozygous or compound heterozygous mutation in the HK1 gene, which encodes a form of hexokinase, on chromosome 10q22.	
DOID_0051007	congenital nonspherocytic hemolytic anemia 8	A congenital nonspherocytic hemolytic anemia that has_material_basis_in homozygous or compound heterozygous mutation in the UMPH1 gene (NT5C3A) on chromosome 7p14.	
DOID_0051008	congenital nonspherocytic hemolytic anemia 9	A congenital nonspherocytic hemolytic anemia that has_material_basis_in hemizygous or heterozygous mutation in the GATA1 gene on chromosome Xp11.	
DOID_0051009	congenital nonspherocytic hemolytic anemia 10	A congenital nonspherocytic hemolytic anemia that has_material_basis_in homozygous or compound heterozygous mutation in the GSR gene on chromosome 8p21.	
DOID_0051010	Bryant-Li-Bhoj neurodevelopmental syndrome	An autosomal dominant intellectual developmental disorder that is characterized by developmental delay / intellectual disability (typically in the severe range) and nonspecific craniofacial abnormalities.	
DOID_0051011	Bryant-Li-Bhoj neurodevelopmental syndrome 1	A Bryant-Li-Bhoj neurodevelopmental syndrome that is characterized predominantly by moderate to severe global developmental delay with impaired intellectual development, poor or absent speech, and delayed motor milestones and that has_material_basis_in heterozygous mutation in the H3F3A gene on chromosome 1q42.	
DOID_0051012	Bryant-Li-Bhoj neurodevelopmental syndrome 2	A Bryant-Li-Bhoj neurodevelopmental syndrome that is characterized predominantly by moderate to severe global developmental delay with impaired intellectual development, poor or absent speech, and delayed motor milestones nd that has_material_basis_in heterozygous mutation in the H3F3B gene on chromosome 17q25.	
DOID_0051013	pseudohypoparathyroidism type 1C	A pseudohypoparathyroidism that has_material_basis_in a heterozygous mutation on the maternal allele of the GNAS gene on chromosome 20q13.	PHP Ic
DOID_0051014	atypical autosomal dominant adult-onset demyelinating leukodystrophy	An adult onset demyelinating leukodystrophy that is characterized by pyramidal signs with weakness and spasticity, dysarthria, dysautonomia, and white matter alterations affecting the cerebrum and corticospinal tracts while sparing the cerebellum and that has_material_basis_in heterozygous deletion involving regulatory elements upstream of the LMNB1 gene on chromosome 5q23. Atypical ADLD can be distinguished from typical ADLD by lack of early involvement of the autonomic nervous system and sparing of the cerebellum clinically and on brain imaging.	
DOID_0051015	adult onset demyelinating leukodystrophy	A leukodystrophy that is characterized by central nervous system demyelination, leading to autonomic dysfunction, ataxia and mild cognitive impairment.	Autosomal dominant leukodystrophy with autonomic disease; autosomal dominant adult-onset demyelinating leukodystrophy
DOID_0051016	visceral heterotaxy 1	A visceral heterotaxy that is characterized by randomization of the placement of visceral organs, including the heart, lungs, liver, spleen, and stomach and that has_material_basis_in mutation in the ZIC3 gene on chromosome Xq26.	
DOID_0051017	visceral heterotaxy 2	A visceral heterotaxy that has_material_basis_in heterozygous mutation in the CFC1 gene on chromosome 2q21.	
DOID_0051018	visceral heterotaxy 3	A visceral heterotaxy that has been mapped to chromosome 6q21.	
DOID_0051019	visceral heterotaxy 4	A visceral heterotaxy that is has_material_basis_in heterozygous mutation in the ACVR2B gene on chromosome 3p22.	
DOID_0051020	visceral heterotaxy 6	A visceral heterotaxy that is has_material_basis_in homozygous mutation in the CCDC11 gene (CFAP53) on chromosome 18q21.	
DOID_0051021	visceral heterotaxy 7	A visceral heterotaxy that is characterized by complex congenital heart malformations and/or situs inversus and caused by defects in the normal left-right asymmetric positioning of internal organs and that has_material_basis_in homozygous or compound heterozygous mutation in the MMP21 gene on chromosome 10q26.	
DOID_0051022	visceral heterotaxy 8	A visceral heterotaxy that is characterized by visceral situs inversus associated with complex congenital heart malformations caused by defects in the normal left-right asymmetric positioning of internal organs and that has_material_basis_in homozygous or compound heterozygous mutation in the PKD1L1 gene on chromosome 7p12.	
DOID_0051023	visceral heterotaxy 9	A visceral heterotaxy that is characterized by randomization of organ laterality, resulting in defects such as situs inversus and dextrocardia and that has_material_basis_in homozygous mutation in the MNS1 gene on chromosome 15q21.	
DOID_0051024	visceral heterotaxy 10	A visceral heterotaxy that is characterized by a failure to generate normal left-right visceral asymmetry during embryogenesis, which can result in heterotaxy syndrome or situs inversus totalis and that has_material_basis_in homozygous mutation in the CFAP52 gene on chromosome 17p13.	
DOID_0051025	visceral heterotaxy 11	A visceral heterotaxy that is characterized by a failure to generate normal left-right visceral asymmetry during embryogenesis, which can result in heterotaxy syndrome or situs inversus totalis and that has_material_basis_in homozygous or compound heterozygous mutation in the CFAP45 gene on chromosome 1q23.	
DOID_0051026	visceral heterotaxy 12	A visceral heterotaxy that is characterized by defects in the asymmetric positioning of visceral organs across the left-right axis, known as laterality defects and that has_material_basis_in homozygous or compound heterozygous mutation in the CIROP gene on chromosome 14q11.	
DOID_0051027	visceral heterotaxy 13	A visceral heterotaxy that is characterized by heterotaxy and congenital heart disease and that has_material_basis_in homozygous mutation in the DAND5 gene on chromosome 19p13.	HTX13
DOID_0051028	autosomal recessive axonal Charcot-Marie-Tooth disease with vocal cord paresis	A Charcot-Marie-Tooth disease type 4 that is characterized by the absence of sensory loss with an onset age of 15 to 25 years and that has_material_basis_in heterozygous mutation in the gene encoding heat-shock 22-kD protein-8 (HSPB8) on chromosome 12q24.	
DOID_0051029	mitochondrial DNA depletion syndrome-21	A mitochondrial DNA depletion syndrome that is characterized by ptosis, ophthalmoparesis, and myopathic limb weakness, as well as variable hepatopathy and altered T-lymphocyte profiles and that has_material_basis_in homozygous or compound heterozygous mutation in the GUK1 gene, which encodes guanylate kinase-1, on chromosome 1q42.	
DOID_0051030	neurodevelopmental disorder with microcephaly, absent speech, and hypotonia	An autosomal recessive intellectual developmental disorder that is characterized by global developmental delay, hypotonia with virtually no motor skill acquisition, and profoundly impaired intellectual development with absent speech and that has_material_basis_in homozygous or compound heterozygous mutation in the FLVCR1 gene on chromosome 1q32.	NEDMISH
DOID_0051031	primary autosomal recessive microcephaly 20	A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the KIF14 gene on chromosome 1q31.	
DOID_0051032	primary autosomal recessive microcephaly 21	A primary autosomal recessive microcephaly that has_material_basis_in homozygous mutation in the NCAPD2 gene on chromosome 12p13.	
DOID_0051033	primary autosomal recessive microcephaly 22	A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the NCAPD3 gene on chromosome 11q25.	
DOID_0051034	primary autosomal recessive microcephaly 23	A primary autosomal recessive microcephaly that has_material_basis_in homozygous mutation in the NCAPH gene on chromosome 2q11.	
DOID_0051035	primary autosomal recessive microcephaly 24	A primary autosomal recessive microcephaly that has_material_basis_in homozygous mutation in the NUP37 gene on chromosome 12q23.	
DOID_0051036	primary autosomal recessive microcephaly 25	A primary autosomal recessive microcephaly that has_material_basis_in homozygous mutation in the MAP11 gene on chromosome 7q22.	
DOID_0051037	autosomal dominant primary microcephaly 26	A primary microcephaly that is characterized by progressive microcephaly beginning at birth and associated with global developmental delay with variably impaired intellectual development and that has_material_basis_in heterozygous mutation in the LMNB1 gene on chromosome 5q23.	
DOID_0051038	autosomal dominant primary microcephaly 27	A primary microcephaly that is characterized by small head circumference apparent in early childhood and associated with global developmental delay manifest as delayed walking, inability to walk, impaired intellectual development, and poor or absent speech and that has_material_basis_in heterozygous mutation in the LMNB2 gene on chromosome 19p13.	
DOID_0051039	primary autosomal recessive microcephaly 28	A primary autosomal recessive microcephaly that is characterized by reduced head size (down to -8 SD) and variably impaired intellectual development apparent from early childhood and that has_material_basis_in homozygous mutation in the RRP7A gene on chromosome 22q13.	
DOID_0051040	primary autosomal recessive microcephaly 29	A primary autosomal recessive microcephaly that is characterized by small head circumference apparent at birth and associated with global developmental delay, impaired intellectual development, speech delay, and behavioral abnormalities and that has_material_basis_in homozygous mutation in the PDCD6IP gene on chromosome 3p22.	
DOID_0051041	primary autosomal recessive microcephaly 30	A primary autosomal recessive microcephaly that is characterized by small head circumference, poor overall growth, and global developmental delay with variably impaired intellectual development and that has_material_basis_in homozygous or compound heterozygous mutation in the BUB1 gene on chromosome 2q13.	
DOID_0051042	autosomal dominant distal hereditary motor neuronopathy 15	An autosomal dominant distal hereditary motor neuronopathy that is characterized by adult onset of slowly progressive distal weakness and atrophy of the lower limbs associated with absent reflexes and that has_material_basis_in heterozygous mutation in the BAG3 gene on chromosome 10q26.	
DOID_0051043	Charcot-Marie-Tooth disease axonal type 2JJ	A Charcot-Marie-Tooth disease type 2 that is characterized by adult onset of distal sensory impairment and distal muscle weakness and atrophy predominantly affecting the lower limbs and that has_material_basis_in heterozygous mutation in the BAG3 gene on chromosome 10q26.	axonal Charcot-Marie-Tooth disease type 2JJ
DOID_0051044	infantile-onset myofibrillar myopathy 12 with cardiomyopathy	A myofibrillar myopathy that is characterized by tremor or clonus at birth, followed by onset of rapidly progressive generalized muscle weakness and dilated cardiomyopathy and cardiac failure and that has_material_basis_in homozygous or compound heterozygous mutation in the MYL2 gene on chromosome 12q23.	
DOID_0051045	myofibrillar myopathy 13 with rimmed vacuoles	A myofibrillar myopathy that is characterized by progressive muscle weakness and atrophy usually beginning in adulthood, although rare patients may have earlier onset, even in childhood and that has_material_basis_in heterozygous mutation in the HSPB8 gene on chromosome 12q24.	
DOID_0051046	spondyloepimetaphyseal dysplasia, Li-Shao-Li type	A spondyloepimetaphyseal dysplasia that is characterized by childhood-onset defective skeletal development, including disproportionate short stature with relatively short lower limbs, limited joint flexion, premature osteoarthritis-like changes in weight-bearing joints, and low bone mass and that has_material_basis_in heterozygous mutation in the CCN2 gene on chromosome 6q23.	
DOID_0051047	congenital disorder of glycosylation type IIbb	A congenital disorder of glycosylation type II that is characterized by global developmental delay, severely impaired intellectual development, microcephaly, epilepsy, facial dysmorphism, and variable neurologic findings and that has_material_basis_in homozygous mutation in the COG3 gene on chromosome 13q14.	
DOID_0051048	congenital disorder of glycosylation type IIr	A congenital disorder of glycosylation type II that is characterized by infantile onset of liver failure, recurrent infections due to hypogammaglobulinemia, and cutis laxa and that has_material_basis_in hemizygous mutation in the ATP6AP2 gene on chromosome Xp11.	
DOID_0051049	congenital disorder of glycosylation type IIt	A congenital disorder of glycosylation type II that is characterized by global developmental delay, poor overall growth, severely impaired intellectual development with absent language, and behavioral abnormalities and that has_material_basis_in homozygous mutation in the GALNT2 gene on chromosome 1q41.	
DOID_0051050	congenital disorder of glycosylation type IIv	A congenital disorder of glycosylation type II that is characterized by neurodevelopmental delay and variable facial dysmorphisms and that has_material_basis_in homozygous or compound heterozygous mutation in the EDEM3 gene on chromosome 1q25.	
DOID_0051051	congenital disorder of glycosylation type IIw	A congenital disorder of glycosylation type II that is characterized by liver dysfunction, coagulation deficiencies, and profound abnormalities in N-glycosylation of serum specific proteins and that has_material_basis_in heterozygous mutation in the G6PT1 gene (SLC37A4), which encodes glucose-6-phosphate translocase, on chromosome 11q23.	
DOID_0051052	congenital disorder of glycosylation type IIy	A congenital disorder of glycosylation type II that is characterized by poor overall growth and global developmental delay with impaired intellectual development and that has_material_basis_in compound heterozygous mutations in the GET4 gene on chromosome 7p22.	
DOID_0051053	congenital disorder of glycosylation type IIz	A congenital disorder of glycosylation type II that is characterized by poor overall growth, severe global developmental delay, seizures, contractures, hypotonia, spasticity, and brain imaging abnormalities and that has_material_basis_in homozygous mutation in the CAMLG gene on chromosome 5q23.	
DOID_0051054	coarctation of the aorta	A congenital heart disease that is characterized by the luminal narrowing of the thoracic aortic arch, typically located just beyond the left subclavian artery. This narrowing creates an obstruction that can lead to significant cardiovascular complications, including systemic hypertension, left ventricular hypertrophy, and eventually heart failure.	
DOID_0051055	46,XY gonadal dysgenesis with minifascicular neuropathy	A gonadal dysgenesis that characterized by minifascicular neuropathy and that has_material_basis_in mutation in the desert hedgehog gene (DHH).	
DOID_0051056	immunodeficiency 113	A primary immunodeficiency disease that is characterized by recurrent infections and usually show features of autoimmunity and autoinflammation, such as hemolytic anemia, thrombocytopenia, hepatosplenomegaly, leukocytosis, neutrophilia, and elevated acute phase reactants, and that has_material_basis_in homozygous mutation in the ARPC5 gene on chromosome 1q25.	
DOID_0051057	avoidant/restrictive food intake disorder	An eating disorder that is characterized by a persistent pattern of avoidant or selective eating that fails to meet nutritional needs and results in significant nutritional deficiency or weight loss.	ARFID
DOID_0051058	acute calcific periarthritis	A periarthritis that is characterized by the juxta-articular deposition of calcium hydroxyapatite crystals and local inflammation.	
DOID_0051059	autosomal recessive Segawa syndrome	A dystonia that is characterized by onset in infancy of dopa-responsive dystonia and that has_material_basis_in homozygous or compound heterozygous mutation in the tyrosine hydroxylase gene (TH) on chromosome 11p15.	autosomal recessive DOPA-responsive dystonia
DOID_0051060	frontotemporal dementia 1	A frontotemporal dementia that has_material_basis_in heterozygous mutation in the MAPT gene, which encodes microtubule-associated protein tau, on chromosome 17q21.	
DOID_0051061	stroke	A cerebrovascular disease that is characterized by disruption of blood flow to the brain resulting in damage to brain cells due to a lack of oxygen.	cerebrovascular accident
DOID_0051062	ischemic stroke	A stroke that is characterized by a blood clot in a blood vessel blocking blood flow to the brain.	
DOID_0051063	hemorrhagic stroke	A stroke that is characterized by sudden bleeding in the brain.	
DOID_0051064	left ventricular failure	A congestive heart failure that is characterized by dysfunction of the left ventricle, resulting insufficient delivery of blood to vital organs.	Left heart failure; left ventricular dysfunction
DOID_0051065	chronic pancreatitis	A pancreatitis that is characterized by long-term inflamation of the pancreas.	
DOID_0051066	arterionephrosclerosis	A chronic kidney disease that is characterized by arteriosclerosis, global glomerulosclerosis, and cortical fibrosis with tubular atrophy and loss.	
DOID_0051067	Fontaine progeroid syndrome	A progeroid syndrome that is characterized by poor growth, abnormal skeletal features, and distinctive craniofacial features with sagging, thin skin, and decreased subcutaneous fat suggesting an aged appearance that is most pronounced in infancy and improves with time and that has_material_basis_in heterozygous mutation in the SLC25A24 gene on chromosome 1p36.	Gorlin-Chaudhry-Moss syndrome; Progeroid Syndrome, Congenital, Petty Type
DOID_0051068	early-onset obesity, adrenal insufficiency, and red hair	A syndrome that is characterized by early-onset obesity due to severe hyperphagia, pigmentary abnormalities, mainly pale skin and red hair, and secondary hypocortisolism and that has_material_basis_in homozygous or compound heterozygous mutation in the POMC gene on chromosome 2p23.	POMC deficiency; pro-opiomelanocortin deficiency; proopiomelanocortin deficiency syndrome
DOID_0051069	Meier-Gorlin syndrome 9	A Meier-Gorlin syndrome that is characterized by short stature, microtia, and patellar hypoplasia or absence and that has_material_basis_in homozygous or compound heterozygous mutation in the GINS3 gene on chromosome 16q21.	
DOID_0051070	Meier-Gorlin syndrome 10	A Meier-Gorlin syndrome that is characterized by intrauterine growth retardation, short stature with proportionate microcephaly, microtia, and absent or hypoplastic patellae and that has_material_basis_in homozygous mutation in the DONSON gene on chromosome 21q22.	
DOID_0051071	neurodevelopmental disorder with seizures and impaired intellectual and language development	An autosomal recessive intellectual developmental disorder that is characterized by intellectual disability, developmental delay, seizures, hypotonia, microcephaly, and dysmorphic features and that has_material_basis_in homozygous or compound heterozygous mutation in the JKAMP gene on chromosome 14q23.	
DOID_0051072	neurodegenerative disorder with cerebellar and caudate atrophy	An autosomal dominant intellectual developmental disorder that is characterized by neurodegenerative features, including progressive ataxia, cognitive decline, and neuropathy, and a distinctive neuroradiologic phenotype with cerebellar and caudate atrophy and basal ganglia signal abnormalities and that has_material_basis_in heterozygous complex chromosome 16p13.3 rearrangement comprising a duplication with an embedded triplication involving at least the ATP6V0C gene.	NDCCA
DOID_0051073	dilated cardiomyopathy 3C	A dilated cardiomyopathy that is characterized by severe arrhythmogenic dilated cardiomyopathy (DCM) with onset as young as the teen years but usually in the third to fifth decades of life and that has_material_basis_in mutation in the gene encoding emerin (EMD) on chromosome Xq28.	
DOID_0051074	primary autosomal recessive microcephaly 31	A primary autosomal recessive microcephaly that is characterized by progressive small head circumference and poor overall postnatal growth and that has_material_basis_in homozygous mutation in the CDK4 gene on chromosome 12q14.	
DOID_0051075	aggressive periodontitis 2	An aggressive periodontitis that has_material_basis_in a locus is situated between D1S196 and D1S533 on chromosome 1q25.	
DOID_0051076	neurodevelopmental disorder with parkinsonism or other movement abnormalities	An autosomal recessive intellectual developmental disorder that is characterized by mild to severe developmental delay or intellectual disability and movement abnormalities including spasticity, early onset-parkinsonism with dystonia, myoclonus, or a combination of these and that has_material_basis_in homozygous or compound heterozygous mutation in the EPG5 gene on chromosome 18q12-q21.	NEDPAM
DOID_0051077	diethylstilbestrol syndrome	A reproductive system disease that is characterized by reproductive tract malformations, decreased fertility and increased risk of developing clear cell carcinoma of the vagina and cervix in young women, in offspring or grandchildren of women exposed to diethylstilbestrol (DES) during pregnancy.	DES syndrome
DOID_0051078	congenital anomalies of the kidney and urinary tract 3	A congenital anomalies of the kidney and urinary tract that has_material_basis_in heterozygous mutation in the NRIP1 gene on chromosome 21q11-q21.	congenital anomalies of kidney and urinary tract 3
DOID_0051080	Alport syndrome 3B	An Alport syndrome that is characterized by glomerular basement membrane abnormalities and that has_material_basis_in homozygous or compound heterozygous mutation in the COL4A3 gene on chromosome 2q36. Sensorineural hearing loss and ocular manifestations may be present.	
DOID_0051081	polycystic kidney disease 8	An autosomal dominant polycystic kidney disease that is characterized by enlarged kidneys, arterial hypertension, and kidney failure and that has_material_basis_in heterozygous mutation in the NEK8 gene on chromosome 17q11.	
DOID_0051082	Parkinson's disease 27	A Parkinson's disease that has_material_basis_in mutation in the GBA1 gene on chromosome 1q22.	
DOID_0051083	developmental and epileptic encephalopathy 111	A developmental and epileptic encephalopathy that is characterized by early-onset refractory seizures, global developmental delay, hypotonia, impaired gross motor development, impaired intellectual development, and absent speech and that has_material_basis_in homozygous mutation in the DEPDC5 gene on chromosome 22q12.	
DOID_0051084	developmental and epileptic encephalopathy 112	A developmental and epileptic encephalopathy that is characterized by a wide range of seizure types, including focal and generalized seizures and that has_material_basis_in heterozygous mutation in the KCNH5 gene on chromosome 14q23.	
DOID_0051085	developmental and epileptic encephalopathy 113	A developmental and epileptic encephalopathy that is characterized by severe early-onset recurrent epilepsy, which is worsened by treatment with levetiracetam and that has_material_basis_in homozygous mutation in the SV2A gene on chromosome 1q21.	
DOID_0051086	developmental and epileptic encephalopathy 114	A developmental and epileptic encephalopathy that is characterized by moderately to severely impaired intellectual development, onset of epilepsy within the first 18 months of life, and a choreiform, dystonic, or dyskinetic movement disorder and that has_material_basis_in heterozygous mutation in the SLC32A1 gene on chromosome 20q11.	
DOID_0051087	developmental and epileptic encephalopathy 115	A developmental and epileptic encephalopathy that is characterized by severe developmental delay and epileptic encephalopathy, massive reduction of white matter, hypo-/aplasia of the corpus callosum, neurodevelopmental arrest, and early death and that has_material_basis_in homozygous or compound heterozygous mutation in the SNF8 gene on chromosome 17q21.	
DOID_0051088	developmental and epileptic encephalopathy 119	A developmental and epileptic encephalopathy that is characterized by global developmental delay, impaired intellectual development, microcephaly, autistic behavior, and seizures and that has_material_basis_in heterozygous mutation in the RNU2-2 gene on chromosome 11q12.	
DOID_0051089	developmental and epileptic encephalopathy 120	A developmental and epileptic encephalopathy that is characterized by severe infantile epilepsy, developmental delay, and intellectual disability and that has_material_basis_in heterozygous mutation in the BAIAP2 gene on chromosome 17q25.	
DOID_0051090	developmental and epileptic encephalopathy 121	A developmental and epileptic encephalopathy that is characterized by neonatal- or infantile-onset epilepsy, global developmental delay or intellectual disability, and death in infancy, childhood, or early adulthood and that has_material_basis_in homozygous mutation in the LGI1 gene on chromosome 10q23.	
DOID_0051091	developmental and epileptic encephalopathy 122	A developmental and epileptic encephalopathy that is characterized by infantile hypotonia, severe neurodevelopmental delay, intractable seizures, and distinct dysmorphic features and that has_material_basis_in homozygous mutation in the MDGA2 gene on chromosome 14q21.	
DOID_0051092	Damseh-Danson neurodevelopmental disorder	An autosomal recessive intellectual developmental disability that is characterized by global developmental delay apparent from infancy and that has_material_basis_in homozygous or compound heterozygous mutation in the SNX27 gene on chromosome 1q21.	NEURODEVELOPMENTAL DISORDER WITH SEIZURES, ABSENT LANGUAGE, AND BEHAVIORAL ABNORMALITIES
DOID_0051093	retinitis pigmentosa 102	A retinitis pigmentosa that is charaterized by onset of night blindness and loss of peripheral vision in adolescence, and eventual reduction in visual acuity with progression of disease and that has_material_basis_in heterozygous mutation in the RNU4-2 gene on chromosome 12q24.	
DOID_0051094	retinitis pigmentosa 103	A retinitis pigmentosa that is charaterized by onset of night blindness and/or loss of peripheral vision in adolescence and that has_material_basis_in heterozygous mutation in the RNU6-1 gene on chromosome 15q23.	
